K562	rank_K562	MCF7	rank_MCF7	NCIH2030	rank_NCIH2030	LPS141	rank_LPS141	SKMEL2	rank_SKMEL2
SPZ1	3045	CDK13	3045	FAM69A	3045	APIP	3045	OSBPL11	3045
IL37	3046	PCCB	3046	THG1L	3046	CAV1	3046	SMDT1	3046
INHBE	3047	PLGLB2	3047	UBOX5	3047	SYCP2	3047	ALDH18A1	3047
IGSF11	3048	WARS2	3048	CBWD3	3048	MORN3	3048	STRN	3048
ZKSCAN7	3049	TMEM179B	3049	CCAR1	3049	ZNF22	3049	KIF4A	3049
DENND1B	3050	TCEAL5	3050	ZNF564	3050	HECTD1	3050	GTF2I	3050
FAXDC2	3051	GPR180	3051	TRIM49D2	3051	MAX	3051	VDAC3	3051
EXOC7	3052	IFITM3	3052	KHDRBS2	3052	TYRP1	3052	FBXO31	3052
USP32	3053	MUTYH	3053	TUBD1	3053	FSTL1	3053	IGFBP2	3053
NKRF	3054	SLC16A3	3054	LUZP4	3054	VEZF1	3054	CELSR2	3054
LETMD1	3055	ANKRD35	3055	ATP5F1	3055	OR5R1	3055	LYRM5	3055
FLAD1	3056	GSTA4	3056	RFX6	3056	PIBF1	3056	OR2L3	3056
TRA2A	3057	VAC14	3057	ASNA1	3057	VSIG1	3057	PAN2	3057
CBWD3	3058	CPA5	3058	PAXBP1	3058	KIAA1586	3058	ZNF687	3058
PON2	3059	AAAS	3059	ZNF227	3059	ARMC5	3059	EIF4G1	3059
TIA1	3060	SYT2	3060	CDHR5	3060	UBB	3060	CT45A3	3060
PRR23D1	3061	TBR1	3061	RNF103-CHMP3	3061	SRGAP2B	3061	PHTF1	3061
TCERG1	3062	ZNF518A	3062	FANCG	3062	SSX2IP	3062	CCNT1	3062
FCHO1	3063	IREB2	3063	DGKG	3063	TMEM257	3063	CEACAM4	3063
FAM156B	3064	CSNK2B	3064	VPS37D	3064	GNAI3	3064	AHCYL1	3064
LY75-CD302	3065	CCDC130	3065	ANKFY1	3065	RIN1	3065	LOC441155	3065
DSE	3066	HPR	3066	ZNF684	3066	ASAP1	3066	EIF4A2	3066
L3MBTL4	3067	XPO5	3067	TMEM2	3067	PPP2R2A	3067	GPN3	3067
SF3A3	3068	NOL11	3068	YEATS2	3068	LRRIQ3	3068	NXF5	3068
SYNE2	3069	HYLS1	3069	ANKRD18B	3069	NDUFC1	3069	NRBF2	3069
CEACAM6	3070	SLX4	3070	BRMS1L	3070	FNDC5	3070	RGS6	3070
ZNF441	3071	C12orf66	3071	NOS2	3071	TAS2R38	3071	REV1	3071
GRAP2	3072	ZNF625	3072	PRAMEF6	3072	DCLRE1B	3072	GNLY	3072
XRCC2	3073	PIGQ	3073	GFI1	3073	DDX11	3073	RBM34	3073
ANKEF1	3074	CAMSAP2	3074	OR14J1	3074	MICALL2	3074	ELAVL3	3074
CALM3	3075	CPSF4L	3075	NAA30	3075	SCYL1	3075	WDR25	3075
MYH14	3076	RBPJ	3076	ZNF100	3076	ATP11A	3076	USMG5	3076
ZNF480	3077	TEX261	3077	NDUFV2	3077	MUC20	3077	SEMA3D	3077
NDUFAF1	3078	VSIG4	3078	DIS3L	3078	CD200R1L	3078	ZNF626	3078
VHL	3079	DBNDD1	3079	SMARCD3	3079	SGCD	3079	SLC1A3	3079
RAB7A	3080	DERL1	3080	LIMA1	3080	BPNT1	3080	RGPD3	3080
HCN2	3081	DPM2	3081	CYP24A1	3081	RAVER2	3081	NUP210	3081
C7orf77	3082	ANG	3082	SAP130	3082	SPANXN1	3082	TFRC	3082
ZNF425	3083	CIART	3083	VPS45	3083	MRPL9	3083	SLC24A5	3083
SEPTIN4	3084	ATP5G2	3084	MEIKIN	3084	TADA1	3084	ZNF366	3084
CBY1	3085	TNNT2	3085	SAT2	3085	ZIC5	3085	RNF25	3085
TP53INP1	3086	HMGXB3	3086	DNAJC16	3086	TBX3	3086	ATP8B2	3086
HNRNPA3	3087	FAAH	3087	MRPS5	3087	ADCK2	3087	SSFA2	3087
KPNA6	3088	SPATA31C1	3088	ALAS1	3088	MARK2	3088	SPATS2	3088
FAM200A	3089	SYF2	3089	UQCC2	3089	FAM58A	3089	MFN1	3089
REV3L	3090	MS4A6A	3090	HIST1H2BI	3090	RGPD3	3090	MGAT4B	3090
OR7A10	3091	ZNF692	3091	PFDN6	3091	SULT1A4	3091	NEUROG3	3091
ZNF217	3092	TAS2R41	3092	SLC22A7	3092	ZNF101	3092	CDHR2	3092
KMT2D	3093	CDAN1	3093	ASTL	3093	ASPM	3093	ZNF878	3093
FAM21A	3094	PATZ1	3094	ERICH5	3094	CXorf58	3094	SCARA3	3094
NRM	3095	ACP1	3095	ANKRD34B	3095	PUM1	3095	TMEM265	3095
UBE2E2	3096	COL23A1	3096	LYPD6	3096	CEP120	3096	PIGB	3096
MS4A6A	3097	GNG2	3097	GTF2A1	3097	ZNF385A	3097	SVOP	3097
GID4	3098	MCM5	3098	VIPR2	3098	MAP3K7	3098	DNAJC21	3098
GTPBP8	3099	ZNF223	3099	MED26	3099	NPY2R	3099	EIF5A2	3099
CALCRL	3100	PYURF	3100	NCF2	3100	HS6ST3	3100	MRPL48	3100
HK1	3101	LRRC52	3101	NKAIN4	3101	APOBEC1	3101	HFM1	3101
STARD4	3102	BCL2L2-PABPN1	3102	JAZF1	3102	SPTSSA	3102	CGB2	3102
TAS2R5	3103	CNEP1R1	3103	UBE2D2	3103	TIGD3	3103	RHPN1	3103
C7orf31	3104	PLA2G15	3104	HMGN1	3104	UBL3	3104	EIF4ENIF1	3104
TMX2	3105	LDB1	3105	SCFD1	3105	NBPF4	3105	HNRNPA0	3105
TIGD3	3106	MUC12	3106	NME1-NME2	3106	NUFIP2	3106	CCNL1	3106
PABPN1	3107	CUZD1	3107	GGNBP2	3107	USP5	3107	FRRS1L	3107
AGK	3108	OPRM1	3108	PABPC1	3108	GFPT1	3108	ODF4	3108
ZNF619	3109	APMAP	3109	SLC38A7	3109	TEDDM1	3109	DNPEP	3109
HIST1H2BK	3110	IFT74	3110	FAM25C	3110	KBTBD3	3110	H2AFX	3110
PPP2R5C	3111	COL4A6	3111	CKB	3111	OR2A14	3111	ARL14	3111
MAT1A	3112	PTPRJ	3112	OR2T2	3112	PRAMEF1	3112	CNOT6L	3112
C10orf126	3113	IFRD1	3113	OR2A4	3113	COBLL1	3113	PRR11	3113
B4GALNT2	3114	RNF133	3114	SDR39U1	3114	ANXA7	3114	CBWD5	3114
YY1	3115	DRICH1	3115	CLECL1	3115	SLCO6A1	3115	TMLHE	3115
TAF12	3116	IBSP	3116	EFCAB5	3116	OR52I1	3116	C1QTNF7	3116
FKBP10	3117	ANKRD20A2	3117	MT1B	3117	SPTLC1	3117	TLE1	3117
CCDC171	3118	UBE2T	3118	LGALS3BP	3118	FAXC	3118	C7orf66	3118
NBPF12	3119	TMEM212	3119	SRP9	3119	LINC00452	3119	STAG1	3119
TMEM41B	3120	CCDC94	3120	LUM	3120	IDO2	3120	APBB3	3120
TAF11	3121	CLPX	3121	CNNM3	3121	C17orf75	3121	GJB6	3121
FANK1	3122	NSDHL	3122	RAB37	3122	IFNA8	3122	PDLIM3	3122
TCAF2	3123	BLZF1	3123	SRPRB	3123	YPEL2	3123	BBOX1	3123
CYBB	3124	SNRPB	3124	PODXL2	3124	KIAA1522	3124	AKAP1	3124
FOXD4L1	3125	FKBPL	3125	ATAD3C	3125	AMOTL1	3125	DAG1	3125
NCKAP1	3126	DEFA1B	3126	FOXD4L5	3126	PICALM	3126	ZNF436	3126
ATMIN	3127	EPC2	3127	WDR92	3127	POTEJ	3127	CCDC113	3127
TLK2	3128	LAMP3	3128	C9orf57	3128	GAS2	3128	POMZP3	3128
REC8	3129	ZNF521	3129	LPCAT2	3129	ZNHIT1	3129	LETM2	3129
CTSK	3130	ZAP70	3130	CXorf49	3130	NEK2	3130	GPR108	3130
SMG9	3131	CGB1	3131	PPM1A	3131	CACUL1	3131	DENND2C	3131
CTTN	3132	CLEC7A	3132	PLGLB2	3132	IQCC	3132	YBX3	3132
XPR1	3133	ZNF101	3133	IBA57	3133	CDK15	3133	EIF3K	3133
VDAC1	3134	NDUFA8	3134	SLCO3A1	3134	SDCBP	3134	KRT14	3134
GOLGA8H	3135	MICA	3135	RETSAT	3135	SCARB2	3135	NR2E1	3135
COL9A1	3136	LIN9	3136	ESCO1	3136	MS4A6A	3136	AGA	3136
RAPGEF4	3137	YTHDF1	3137	LRRC49	3137	FRG2B	3137	SLC26A4	3137
SNRNP48	3138	UFC1	3138	C10orf90	3138	RPAP1	3138	ADGRF4	3138
SEBOX	3139	DGKE	3139	SLC13A2	3139	TCEA3	3139	EDEM2	3139
HIST2H2AC	3140	DUS4L	3140	RNF25	3140	MRPL10	3140	TSGA10IP	3140
GNG5	3141	SCEL	3141	MASTL	3141	CTTN	3141	HIST4H4	3141
DHRS11	3142	RBM15	3142	LIMS3L	3142	GOLGA6L6	3142	DOCK10	3142
MTRNR2L10	3143	QRSL1	3143	PARD3B	3143	CEP295	3143	MNDA	3143
NEK10	3144	TWSG1	3144	ATG4C	3144	BRD8	3144	ZNF676	3144
ICK	3145	ZNF25	3145	PGM2L1	3145	CLDN9	3145	CENPW	3145
KRCC1	3146	ZBTB49	3146	FDXACB1	3146	SLC30A7	3146	AMPD2	3146
SPAG5	3147	USP33	3147	YIPF6	3147	HGD	3147	HDAC1	3147
FAM32A	3148	PPP1R13B	3148	CDC40	3148	HERPUD2	3148	FABP12	3148
FMNL2	3149	SYTL2	3149	FAM193B	3149	CCDC37	3149	TPD52	3149
PNN	3150	CCDC65	3150	COMMD2	3150	CMC1	3150	HSF5	3150
NDUFA10	3151	TRMT6	3151	EEFSEC	3151	PTPN11	3151	SMR3A	3151
EIF4B	3152	ZNF829	3152	TMEM74	3152	POTEI	3152	PSEN1	3152
ARHGEF39	3153	GJB6	3153	BIRC6	3153	BBS5	3153	B4GALT7	3153
PPP2R5D	3154	TNPO3	3154	MND1	3154	PTPN20	3154	THRAP3	3154
SF3A2	3155	ZNF286B	3155	USP33	3155	PARP15	3155	NAF1	3155
POLH	3156	PRDM7	3156	A2ML1	3156	FANCM	3156	TPM1	3156
NOTUM	3157	TSSK4	3157	CIAPIN1	3157	STAG3	3157	SLC39A2	3157
SPAG17	3158	DNAJB1	3158	TMEM167A	3158	ATP5L2	3158	SPINT2	3158
ANTXRL	3159	RPS6KA4	3159	C16orf59	3159	TRAPPC13	3159	DNAL4	3159
C17orf104	3160	PFN2	3160	OTUD7A	3160	MBTD1	3160	FGF16	3160
ATP5G2	3161	ZNF586	3161	RBM17	3161	RNASEH2A	3161	MED28	3161
DLEC1	3162	RASGRP3	3162	TUBA3D	3162	CFC1B	3162	TMPRSS11B	3162
NETO2	3163	RABIF	3163	SIRT7	3163	NSD1	3163	VBP1	3163
YTHDF2	3164	ZNF732	3164	IL18RAP	3164	NELL2	3164	SP2	3164
TACC3	3165	CNGA3	3165	PEA15	3165	PHF23	3165	KCNQ4	3165
FAM187B	3166	MYH6	3166	C3orf62	3166	KRCC1	3166	QDPR	3166
KRTAP29-1	3167	POLD4	3167	CBX1	3167	KRTAP10-4	3167	ZNF428	3167
RPL36A-HNRNPH2	3168	SIGLEC10	3168	TPCN1	3168	GOLGA8N	3168	PSMA2	3168
HSPA12B	3169	LRRN3	3169	GLMP	3169	IBA57	3169	CSNK1E	3169
LAMTOR4	3170	ISCA1	3170	AKAP7	3170	FANCI	3170	NDUFA8	3170
CDCA3	3171	DYRK2	3171	ARL13B	3171	MICA	3171	EFS	3171
CECR1	3172	ACHE	3172	TEX38	3172	NUPL2	3172	FSD1	3172
LCA5L	3173	ZDHHC22	3173	TCEAL8	3173	OGDHL	3173	KLHL26	3173
C3orf33	3174	NCF2	3174	MIOS	3174	PAQR6	3174	EIF5AL1	3174
EXOSC7	3175	NEK2	3175	TOE1	3175	PI4KA	3175	NUSAP1	3175
C16orf59	3176	UBE2J2	3176	FRG2B	3176	TXLNA	3176	FAM13B	3176
SYVN1	3177	CABP7	3177	LYPD6B	3177	SEC16A	3177	CDCA3	3177
FAM46C	3178	KLHL11	3178	DIAPH1	3178	HIST1H2BF	3178	FAM86B1	3178
SGTA	3179	TIMM17A	3179	ZC3H11A	3179	GIN1	3179	ZNF614	3179
AMOTL1	3180	TRAPPC5	3180	PIWIL4	3180	DRC7	3180	AGAP1	3180
RHOBTB3	3181	IKBKAP	3181	SLC25A48	3181	PATL2	3181	KRT33B	3181
SLC31A2	3182	C14orf178	3182	TMED8	3182	HIST1H2AE	3182	MAGEA4	3182
ESYT2	3183	LOC730159	3183	TUBB2B	3183	KIAA1109	3183	GPR180	3183
EEF1B2	3184	PSMD1	3184	ST3GAL2	3184	IFT80	3184	PRAMEF20	3184
GJB6	3185	LRCH1	3185	KRTAP10-9	3185	ASTE1	3185	PARK7	3185
IGFN1	3186	TPTE2	3186	LSM3	3186	LRRK2	3186	NOBOX	3186
NME6	3187	FAM151A	3187	OR52B6	3187	ZSCAN26	3187	HOMEZ	3187
SCAMP2	3188	GNB5	3188	NPIPB9	3188	TBL2	3188	SUSD2	3188
GOLGA8J	3189	COL11A1	3189	TRAF3	3189	CCDC82	3189	STRN4	3189
ARL2BP	3190	MAPKAPK2	3190	HAPLN4	3190	ZNF479	3190	FRRS1	3190
UBE2A	3191	KRTAP4-7	3191	ACBD4	3191	RNPC3	3191	TRIM22	3191
CLK2	3192	SPTSSA	3192	ALAD	3192	COX6C	3192	ZGRF1	3192
C6orf62	3193	MLLT10	3193	FDX1	3193	BIVM-ERCC5	3193	BSND	3193
TTC17	3194	ZNF687	3194	RWDD2A	3194	RAB4A	3194	TEX35	3194
RBP3	3195	RANBP17	3195	TSPAN2	3195	KIF22	3195	CCDC39	3195
USPL1	3196	SLC35E2	3196	COX6C	3196	HDAC6	3196	ARFGEF1	3196
PCNT	3197	SSX4	3197	ZSWIM3	3197	TOM1L1	3197	GNL2	3197
SEC61B	3198	KLRC1	3198	ZNF300	3198	TRAF1	3198	TMEM229A	3198
UBE2U	3199	UBE2E3	3199	SEPHS1	3199	OR5D13	3199	COPG2	3199
GHITM	3200	MTUS1	3200	CDK11B	3200	CRYGA	3200	KIF21A	3200
FAM177A1	3201	ITGB3BP	3201	EML5	3201	LYRM5	3201	PIK3R6	3201
C12orf65	3202	AKAP7	3202	COMMD4	3202	ARID5A	3202	ZFC3H1	3202
BCL2L2	3203	RPEL1	3203	TRAF3IP1	3203	VDAC1	3203	SLC22A18	3203
RBM34	3204	DALRD3	3204	SRRM2	3204	JADE2	3204	CCDC120	3204
KDM6A	3205	ARID5A	3205	SMG8	3205	ACTB	3205	MNS1	3205
GGTLC2	3206	CYBB	3206	CCDC54	3206	FAM157B	3206	UFD1L	3206
GSTZ1	3207	SND1	3207	AP1S2	3207	TRIM55	3207	SUCO	3207
KLK14	3208	ZNF235	3208	C16orf78	3208	GLYATL2	3208	SMOX	3208
C11orf30	3209	GIP	3209	CEACAM20	3209	CEP126	3209	NRBP2	3209
POTEI	3210	NONO	3210	B3GNT5	3210	CCDC110	3210	DRG1	3210
NBPF3	3211	MRPS27	3211	C19orf66	3211	CAPN2	3211	BLZF1	3211
SERBP1	3212	NCAPG	3212	FASLG	3212	ADRB3	3212	CDC25A	3212
SKP2	3213	RIOK2	3213	SERF1A	3213	TNR	3213	SPPL2C	3213
RGPD5	3214	POLR1B	3214	MRPL47	3214	IRAK4	3214	TRIP4	3214
SGCD	3215	SLC3A2	3215	DNAJC24	3215	HPD	3215	ARL6IP6	3215
TMEM106C	3216	PCDHAC2	3216	PBRM1	3216	TP53TG3C	3216	ING3	3216
GPA33	3217	TRIM49D2	3217	IPO4	3217	PCNP	3217	ODF3L2	3217
FCGR1A	3218	RBM19	3218	NR1D1	3218	INPP4B	3218	MAPK12	3218
B4GAT1	3219	ANKRD17	3219	NCK2	3219	G3BP2	3219	CGN	3219
BTAF1	3220	SCAF8	3220	DUSP11	3220	OTOP2	3220	HNRNPA1L2	3220
PKD1	3221	CASC3	3221	ANXA4	3221	GDAP1	3221	WARS2	3221
ETV4	3222	WAC	3222	SURF4	3222	LRIT1	3222	OR5H2	3222
SEC23B	3223	S100A16	3223	ESRRA	3223	MRPL35	3223	C17orf74	3223
TM6SF1	3224	ZACN	3224	LCN6	3224	HIST1H2BL	3224	LRBA	3224
KCNJ1	3225	LRRIQ3	3225	TMEM183B	3225	RASA4	3225	ST14	3225
PPP1R18	3226	PSMC3	3226	SERPINB4	3226	C20orf62	3226	TEX43	3226
PHOSPHO2-KLHL23	3227	BGN	3227	CLEC7A	3227	DOT1L	3227	FEZ1	3227
C1orf228	3228	KPNA2	3228	FAM3A	3228	SLTM	3228	RBMY1E	3228
PIK3AP1	3229	TBC1D3	3229	CYP27C1	3229	C11orf98	3229	MANF	3229
IL21	3230	SP1	3230	DCTN3	3230	CCDC63	3230	PDILT	3230
KLRC1	3231	HRH4	3231	MED17	3231	GPN3	3231	LYZL4	3231
CENPT	3232	HIST1H2AM	3232	FASTKD2	3232	GATAD2B	3232	GAS2	3232
CCDC90B	3233	UTP14A	3233	COL4A5	3233	ZNF474	3233	SETX	3233
KIF13A	3234	TPM3	3234	ARPC4-TTLL3	3234	TIMM8A	3234	PMF1	3234
CMYA5	3235	NRG2	3235	MTERF3	3235	YTHDF2	3235	MTPAP	3235
CYP1A1	3236	PLSCR2	3236	ZNF23	3236	HBG2	3236	TRNAU1AP	3236
LRIT1	3237	ZWINT	3237	HRSP12	3237	LOC149373	3237	C1orf162	3237
HIST1H1T	3238	NUBPL	3238	CCIN	3238	PPP1R35	3238	TMEM120B	3238
SRM	3239	MAP2K5	3239	IYD	3239	ANAPC10	3239	PLEKHA4	3239
XKRY	3240	C9orf171	3240	OR10J3	3240	ARFGEF1	3240	PDE7B	3240
FAM227A	3241	DCAKD	3241	NAA60	3241	CREBZF	3241	ARL3	3241
HIST1H2AJ	3242	DYSF	3242	ETV4	3242	TSGA10IP	3242	HNRNPH2	3242
TMEM213	3243	FAM178A	3243	ZNHIT6	3243	BEND3	3243	TOB1	3243
TSGA13	3244	GPR75-ASB3	3244	FTO	3244	KPNA2	3244	SLAMF9	3244
ARV1	3245	NELFA	3245	CHORDC1	3245	SLC41A2	3245	ATM	3245
LTN1	3246	OMG	3246	LOC391003	3246	ERMARD	3246	ZFP91	3246
TSG101	3247	FKBP15	3247	CGB2	3247	FAM134B	3247	PPA2	3247
SLC22A15	3248	FEZ1	3248	GALNT6	3248	ATRN	3248	TUSC5	3248
TMLHE	3249	YME1L1	3249	QTRTD1	3249	MYOCD	3249	ZNF823	3249
PCDHB15	3250	PKIA	3250	ZFP36L1	3250	ZCCHC17	3250	PLCXD3	3250
TMEM161A	3251	PDE4A	3251	SENP6	3251	FAM19A4	3251	GPC3	3251
SEC16B	3252	MCAT	3252	KLHL4	3252	ZEB2	3252	CYBA	3252
TREM2	3253	SLC22A17	3253	DENND2D	3253	C10orf105	3253	SFT2D2	3253
VTA1	3254	CLLU1	3254	FRG2C	3254	CLLU1	3254	ARMCX1	3254
CWC27	3255	STAU1	3255	SULT1C4	3255	NMUR2	3255	PFKM	3255
CLCN4	3256	SEC22A	3256	ADGRV1	3256	RAD23B	3256	RBL1	3256
OTUD4	3257	CCT3	3257	EPS8	3257	RAB3IL1	3257	ABTB2	3257
ZNF586	3258	ACOT6	3258	TRMT61A	3258	SURF1	3258	FAM221A	3258
USP17L29	3259	HNRNPK	3259	UBN2	3259	ITGAM	3259	LRRIQ1	3259
MIF4GD	3260	DPP8	3260	ATXN7L2	3260	RAD54L	3260	ZNF385C	3260
KRT76	3261	ZKSCAN5	3261	TCOF1	3261	FRRS1	3261	ZNF91	3261
RPL41	3262	NDUFS3	3262	RCE1	3262	PRDM5	3262	VSIG1	3262
AFF3	3263	KIF1C	3263	C1QTNF9B-AS1	3263	LRP6	3263	MYT1	3263
FAM63A	3264	MNT	3264	SLC7A8	3264	UBXN10	3264	CLIC5	3264
EIF4H	3265	TMEM133	3265	NDUFA5	3265	USP30	3265	CSF1	3265
LARP7	3266	GPN3	3266	AP1B1	3266	RIOK3	3266	TNS3	3266
DCUN1D4	3267	DDX11	3267	RALA	3267	SOCS2	3267	CBR4	3267
C14orf178	3268	ZNF594	3268	ITGB3BP	3268	PALM2	3268	STK4	3268
NUTM2B	3269	TBCB	3269	SULT6B1	3269	FAM169A	3269	FAM129C	3269
KHK	3270	HMGCLL1	3270	EGR2	3270	ERBB4	3270	GEMIN2	3270
CD22	3271	CUL2	3271	CLPTM1L	3271	PCDHB8	3271	RBMY1D	3271
MRPL36	3272	CPSF6	3272	ACOT6	3272	COL11A1	3272	ACOXL	3272
GALNT1	3273	FAF2	3273	TCEA1	3273	WDR1	3273	AUP1	3273
ZNF777	3274	EIF3L	3274	DDX27	3274	PDZD9	3274	FAM192A	3274
ING3	3275	BET1	3275	OR2L8	3275	B4GALT3	3275	TRIM4	3275
MMP21	3276	SLC37A4	3276	ARHGEF28	3276	PEX10	3276	CREB3	3276
BRAF	3277	MVP	3277	SLC9B1	3277	SEPTIN10	3277	C11orf1	3277
OR2A5	3278	UBAP2	3278	TXLNB	3278	PROX1	3278	MRPS5	3278
CPSF6	3279	TPT1	3279	SCGB2A2	3279	PARPBP	3279	CD58	3279
F2R	3280	TMEM64	3280	SPCS2	3280	HSP90AB1	3280	WFDC10B	3280
MITD1	3281	ERC2	3281	ARHGAP1	3281	TMEM194A	3281	RIMBP3	3281
ARSJ	3282	HIST1H3I	3282	FAIM2	3282	PHF7	3282	CEP55	3282
SFXN2	3283	DAZAP1	3283	GCLC	3283	SLC1A3	3283	NMU	3283
FNBP4	3284	ASS1	3284	TXNDC9	3284	PITPNM1	3284	PPAPDC1B	3284
HIST1H4K	3285	UGT1A6	3285	CAPZA2	3285	PRAMEF17	3285	C8orf88	3285
HIST1H3I	3286	ABHD6	3286	GPR65	3286	SMIM7	3286	ENSA	3286
ARHGAP26	3287	PEX12	3287	WHSC1L1	3287	ATP6V1F	3287	RPEL1	3287
MED18	3288	RRP9	3288	PRKD1	3288	FAM81B	3288	RFC1	3288
UGT2B11	3289	NPLOC4	3289	MUC1	3289	PHOSPHO1	3289	CMC4	3289
TAS2R8	3290	GSTM1	3290	BRD7	3290	S1PR1	3290	METTL7A	3290
TRIM48	3291	MS4A13	3291	ZNF813	3291	SEPTIN2	3291	TPRA1	3291
OR10V1	3292	RPL41	3292	OXNAD1	3292	MED26	3292	NPNT	3292
MLLT1	3293	CNIH1	3293	CTAGE6	3293	RNF25	3293	MAP2K5	3293
SRP68	3294	THAP11	3294	RNF213	3294	WDTC1	3294	PLD5	3294
CYP46A1	3295	PYGL	3295	TMEM131	3295	NXPE4	3295	MUC17	3295
TSPAN16	3296	NOC4L	3296	PRR16	3296	ZSCAN20	3296	FAM72C	3296
ETFDH	3297	AGAP9	3297	SSFA2	3297	GCSAML	3297	ANO3	3297
KDM7A	3298	NDRG2	3298	GLRA4	3298	ADAM9	3298	GPR45	3298
IPP	3299	COX5B	3299	PPP1R12A	3299	NRM	3299	WRN	3299
GNG8	3300	TTC37	3300	CIR1	3300	FAM227A	3300	ZNF682	3300
GPR107	3301	FCF1	3301	C1orf168	3301	TIAL1	3301	MRAS	3301
AMY1B	3302	ANKS1A	3302	PDE6G	3302	MSL2	3302	CHST3	3302
LRRC46	3303	C4orf51	3303	TMX2	3303	ZNF268	3303	ZNF560	3303
HMGCLL1	3304	LRRCC1	3304	COL4A3	3304	SERINC2	3304	PARS2	3304
SLC5A5	3305	GCSAM	3305	CAMTA1	3305	OR51V1	3305	MICAL3	3305
KIAA0226	3306	TRIP13	3306	GNB4	3306	SEC11A	3306	GTPBP8	3306
CENPJ	3307	SLC46A1	3307	CYP7A1	3307	CD1D	3307	RPL14	3307
ERV3-1	3308	AGO3	3308	CARTPT	3308	GOLGA8H	3308	TYW3	3308
CHCHD7	3309	GMDS	3309	WARS2	3309	C11orf95	3309	CENPL	3309
SLC25A10	3310	HIST1H4J	3310	FANCL	3310	NR1H4	3310	ZMYM6	3310
PUS3	3311	TMEM44	3311	RIC1	3311	MS4A4A	3311	GOLT1B	3311
LRAT	3312	CASP8	3312	SLC25A12	3312	FAM228B	3312	DHFRL1	3312
TRIM16	3313	HSP90B1	3313	UBE2Q2L	3313	TLK1	3313	COPS7A	3313
MTA3	3314	AKR1C1	3314	SUCLA2	3314	C1orf43	3314	PAXBP1	3314
IFI35	3315	HCCS	3315	FOXR1	3315	ADRA1B	3315	INO80C	3315
LAMTOR5	3316	UROD	3316	ZNF707	3316	NDUFB10	3316	OR13C8	3316
NAA38	3317	ALG3	3317	MBOAT2	3317	GJA4	3317	LAD1	3317
MTO1	3318	DIP2B	3318	FICD	3318	KLF4	3318	SPG11	3318
BAGE2	3319	RPGRIP1L	3319	GALNT1	3319	DCDC2B	3319	GOLT1A	3319
AGAP11	3320	FBXO7	3320	CCDC74B	3320	SLC6A17	3320	SNAI3	3320
NPHP1	3321	SPATA7	3321	MAN1A1	3321	ELL2	3321	RHCG	3321
LIMS3L	3322	MASTL	3322	ZDHHC9	3322	CHMP1A	3322	TMEM2	3322
DPH7	3323	C8orf76	3323	DDX17	3323	PEX1	3323	AKAP11	3323
CHST9	3324	FRG2	3324	PRUNE2	3324	NMNAT1	3324	RAC1	3324
TSPAN5	3325	EEA1	3325	DEFB134	3325	BTBD10	3325	MAPKAPK3	3325
ZBTB7B	3326	GSTO1	3326	HARBI1	3326	PKP4	3326	LOC100134391	3326
RAB11FIP4	3327	SLC1A3	3327	GML	3327	METTL18	3327	NFATC2IP	3327
NALCN	3328	DHX36	3328	ZFYVE1	3328	LPAR6	3328	SLC35G1	3328
DUOX1	3329	ABCA5	3329	CDS2	3329	ZNF223	3329	CCDC168	3329
CTPS1	3330	HMGN5	3330	PLD5	3330	LMNA	3330	IL13RA2	3330
MMRN2	3331	OPN5	3331	GALNT10	3331	FKBPL	3331	LSM12	3331
ARHGAP27	3332	MZT1	3332	CAMK1D	3332	ECHDC1	3332	CDKL2	3332
RPGRIP1	3333	UBR4	3333	GKN2	3333	ZKSCAN5	3333	ZNF214	3333
S100A8	3334	CPQ	3334	EML6	3334	CNGA3	3334	CUEDC2	3334
EFNB2	3335	ZBED5	3335	C2orf16	3335	TBR1	3335	SYNRG	3335
FAM122A	3336	FAM19A4	3336	ERC2	3336	CCDC134	3336	ZNF136	3336
RB1	3337	CDIPT	3337	S100A8	3337	ATG16L2	3337	UBE2D2	3337
RCC2	3338	LOC100133267	3338	CLEC1B	3338	GLYATL1	3338	C2orf71	3338
SERPINI1	3339	EIF2AK3	3339	OR2T34	3339	MUC6	3339	EML2	3339
RBM42	3340	ZC3H8	3340	ARL4A	3340	ZBTB8B	3340	INTS9	3340
CRLF1	3341	EXOC6B	3341	COL4A3BP	3341	DSN1	3341	ERO1L	3341
SH3RF2	3342	CYTH1	3342	TNRC18	3342	CENPE	3342	KCTD20	3342
EFEMP2	3343	CRYZL1	3343	RANBP10	3343	SNRNP27	3343	OR2J2	3343
SIRT3	3344	SPAG5	3344	RPA4	3344	GRWD1	3344	SV2A	3344
C2orf27A	3345	RHEBL1	3345	DAP	3345	FHDC1	3345	HMOX2	3345
C2CD5	3346	ATXN3	3346	BEST1	3346	UBE2U	3346	ARMCX5-GPRASP2	3346
SYNCRIP	3347	CCT8	3347	OSGEP	3347	SCN3A	3347	OR4C12	3347
CYP3A7-CYP3A51P	3348	ALAS1	3348	RSRC2	3348	HMGN3	3348	MRPL38	3348
MBIP	3349	GSTM2	3349	ID2	3349	BBS7	3349	ITGAM	3349
ANK3	3350	PLA2G10	3350	HOMER3	3350	LOC200726	3350	TRAPPC2	3350
USP17L17	3351	ZNF391	3351	URGCP-MRPS24	3351	TMEM240	3351	DOT1L	3351
