K562	fdr_K562	lfc_K562	NCIH2030	fdr_NCIH2030	lfc_NCIH2030	LPS141	fdr_LPS141	lfc_LPS141	 SKMEL2	fdr_SKMEL2	lfc_SKMEL2
CEP76	0.591784	-0.60199	RPL29	0.918925	0.15712	HHAT	1	-0.23121	GH1	0.998835	-2.3223
FAIM	1	0.22633	MMP13	0.803918	0.33558	GGCX	0.81215	-0.31542	GIMD1	0.998835	3.6978
IL13RA2	0.248441	0.22734	LINS	0.970683	-0.0036437	VIPR1	1	-0.31542	CEP44	0.998835	2.7552
ROS1	0.591784	-1.2371	HRH2	0.924093	-0.12014	RBPJ	0.972988	-0.12013	CEP85L	0.998835	-1.8263
C2orf72	1	-1.2381	RNFT2	0.681257	0.41952	NIPSNAP3B	0.814643	0.39858	GJA3	0.998835	-2.3223
DNAJB2	1	-1.2403	TRPM2	0.970683	0.0536	D2HGDH	1	-0.18922	CEACAM21	0.998835	-1.0644
SEC11C	1	-1.2429	RRM1	0.966443	-1.1729	WDR72	0.81215	-0.2526	PCDH15	0.998835	-2.3223
TRIM8	0.591784	-0.75095	FREM2	0.820732	0.14664	GPRC5C	0.997678	-0.0027521	PAX1	0.998835	-0.68372
SFMBT2	1	-0.81466	CTAG1A	0.942303	0.10784	NEURL1B	0.972988	0.089207	PDCD6IP	0.998835	-2.1752
ASXL3	0.357126	1.3663	DSCC1	0.872281	0.29886	LRP4	0.963018	-0.25195	PCDHB13	0.998835	-2.5781
PYURF	1	-1.1757	RPGRIP1	0.249891	0.30787	OVGP1	0.912875	-0.24917	OSBPL7	0.998835	6.4065
SUN2	0.17907	2.1298	MMP11	0.942303	-0.13591	CMTM1	1	-0.098956	OSBPL6	0.998835	-0.16679
TRIM27	1	-1.242	BCL6	0.88756	0.10996	CKAP2	1	-0.18938	PAH	0.998835	-0.78871
RFPL3	0.529516	-0.54536	MED9	0.768912	0.25428	CNOT3	0.975324	-1.3561	OSM	0.998835	-1.3653
DYDC1	0.248441	-0.12927	C16orf13	0.520399	0.28315	AMMECR1L	0.879549	0.23157	PEPD	0.998835	-2.3223
GAL3ST1	0.591784	-1.2373	SCN1B	0.939412	-0.049639	NEUROG2	1	-0.28166	PLEKHG1	0.998835	-3.4678
LCORL	0.852662	-1.2402	CRYBA1	0.641119	0.12231	EFNB1	1	-0.14583	PLCB4	0.998835	-2.3223
GRIP1	0.070966	3.1822	ZNF526	0.684578	0.4656	TMEM200C	0.963018	0.046712	PLET1	0.998835	-2.3223
DDX4	1	-1.0524	UBE2T	0.471721	0.90301	SLC37A4	1	-0.19803	PLEKHG5	0.998835	-2.3223
XXYLT1	0.529516	-0.1579	INADL	0.582324	0.23162	TPSB2	1	-0.22875	PEX7	0.998835	5.308
VANGL1	1	-0.36939	RBBP7	0.253616	0.52601	HBA2	1	-0.2006	PEX11G	0.998835	-2.2506
TCP11X2	0.283728	1.5266	CDKN3	0.736526	0.85989	CT45A6	0.81215	0.10671	PIGC	0.998835	-2.3223
CYP2C19	0.283728	-0.69973	LASP1	0.837602	0.33052	OR13J1	1	-0.54364	PIEZO1	0.998835	-1.9218
AIFM3	1	-1.2209	C3orf20	0.773403	0.0624	MKS1	1	-0.61715	OR8J3	0.998835	-0.16511
EPRS	1	-0.57924	OXSM	0.915718	-0.28046	USP17L12	1	-0.23359	NECAP2	0.998835	-1.8263
SLC9A8	1	-1.2324	DDX24	0.915718	-0.24899	CRY1	0.961956	0.24659	NDUFAF4	0.998835	-1.2227
HIST1H3G	0.636778	-1.2352	SOCS5	0.623033	0.40352	CDKN1C	0.972988	0.0081297	NOTCH2NL	0.998835	-2.2506
ZBTB33	0.734293	-1.2301	PLGLB2	0.996974	-0.32141	SQSTM1	0.743322	0.45429	NLRP12	0.998835	-2.3223
C16orf58	0.75631	-1.2127	EVI5L	0.825622	0.3697	IL10	0.80368	0.34991	DYRK1B	0.998835	0.41386
N6AMT2	0.517272	1.0408	UNC13B	0.822775	0.1893	OARD1	0.961956	-0.3261	DZIP1	0.998835	-2.0955
OR5D14	1	-0.32218	HIST2H4B	0.84445	0.093385	GLI3	0.972988	-0.42105	NANOS2	0.998835	-2.0113
PTDSS2	0.528064	1.0225	PCP4L1	0.688381	0.48924	NTSR2	1	-0.18871	MYOZ2	0.998835	-2.7952
CAPN9	0.517272	-0.39339	LMOD2	0.970683	0.0072702	TAS2R42	0.373645	0.36516	NPEPL1	0.998835	-2.3223
ANP32E	1	-1.1896	AADAT	0.66605	0.59578	POTEJ	0.912875	0.016139	OR1A1	0.998835	1.209
CCNB1	0.211532	1.5659	ZNF630	0.915718	-0.059661	RNF139	0.953812	-0.23905	ODC1	0.998835	-0.31326
IFNA5	1	-1.0456	IL31RA	0.939412	-0.10936	CLEC1A	0.743322	0.49403	OR8G2	0.998835	5.7023
E2F6	0.474347	1.1217	ZC3H7B	0.939412	-0.021572	VAX2	1	-0.15601	OR52E4	0.998835	-1.6702
TAS2R16	1	-0.78365	NSUN5	0.520399	0.47008	FSCN1	1	-0.2701	NPPC	0.998835	-1.2958
TRIM49D2	0.248441	1.9052	ERMN	0.968263	0.0034076	LONRF3	0.912875	-0.2701	NPHS2	0.998835	-1.2958
FAM178A	0.813496	0.66561	UBA5	0.994436	-0.24579	CRELD2	1	-0.2701	NSMAF	0.998835	-2.3223
DNPH1	1	-1.2202	SLTM	0.736526	0.098587	AMPD2	0.878874	-0.2701	NR4A3	0.998835	-1.6142
ARL8B	0.715626	-0.67236	CDC42EP5	0.85003	0.022797	S100A1	0.89121	-0.14081	SAMSN1	0.998835	-1.7761
HLA-DQB2	0.591784	0.47605	PTTG2	0.320657	-0.016932	ARIH1	1	-0.83184	SALL3	0.998835	-1.6142
MLST8	1	-1.213	PRPS2	0.894106	-0.093209	NEUROD6	0.972912	-0.22831	SENP2	0.998835	-2.3223
CHSY3	0.741697	-1.2332	EDC3	0.993488	-0.061524	COX7C	1	-0.067607	SEMA6B	0.998835	-2.3223
CTAGE5	1	-1.2329	RBPMS2	0.551081	-0.38117	OR56A5	0.658179	0.86815	RGS6	0.998835	-1.4951
GABBR2	0.529516	-1.2281	KCNK10	0.865383	0.12187	WDR5B	0.353655	0.79973	RFXAP	0.998835	-0.16511
CDS2	0.157698	2.0798	CHCHD5	0.707911	-0.11148	BMP8B	0.972988	-0.17973	RPGRIP1	0.998835	-1.0644
TTC27	1	-1.001	MAG	0.553832	0.48082	STK16	0.771012	0.38757	RNPEPL1	0.998835	-2.3223
HHIPL2	0.591784	-1.0658	OR6C65	0.975814	0.0088405	RUFY1	0.972988	0.26411	SERF2	0.998835	-2.3223
ZNF48	0.591784	0.90621	ZNF232	0.939412	0.24992	ZNF140	1	-0.25412	SLC38A5	0.998835	-2.3223
CDK13	1	-1.2132	DIABLO	0.773403	0.25522	HRH3	0.912875	-0.22351	SLC2A6	0.998835	-0.4476
FUT9	1	-1.2197	RIMBP2	0.814406	0.42521	EEF2	0.672529	0.37625	SLC6A3	0.998835	1.0532
ZNF500	0.75631	-1.2318	NDST4	0.822775	0.21271	LMNTD2	1	-0.33746	SLC5A10	0.998835	-2.3223
C1QTNF8	1	-1.2134	GFI1B	0.852901	0.066915	UNC13C	0.963018	-0.16192	SKIL	0.998835	-0.57048
BCR	1	-3.3873	ME2	0.335022	0.23257	C20orf27	0.978201	-0.28259	SFT2D3	0.998835	-2.2134
ZNF626	1	-2.5008	MTIF2	0.942303	-0.41508	VAMP3	1	-0.20413	SLAIN1	0.998835	-2.3223
TRRAP	1	-1.5611	YWHAE	0.994346	-0.26444	YWHAB	1	0.14798	SKP2	0.998835	-1.8748
MAP4K3	0.310978	0.21835	ZNF816-ZNF321P	0.820732	0.29578	LIMD1	1	-0.22838	REV1	0.998835	-1.3653
FBXL5	0.591784	-1.1304	APC	0.930027	0.079318	CPNE3	1	-0.24492	PRDM4	0.998835	-3.5448
SNX25	1	-0.17332	PABPC1L	0.97541	0.059653	ARHGEF12	0.966785	-0.13202	PPARG	0.998835	-2.3223
CAPN8	1	-1.1679	ROBO3	0.773403	0.12636	LRTOMT	0.81215	0.39424	PRR32	0.998835	-1.9672
RABEPK	0.670563	-1.2136	ZNF746	0.814406	0.024843	CHRNA1	1	-0.27005	PRPH	0.998835	-2.3223
LOC158434	1	0.43781	RNF17	0.957167	-0.16339	NECAB3	1	-0.14936	PLIN2	0.998835	-2.3223
ADAM23	1	-0.65067	RASGRF1	0.667322	-0.073456	LRRC16A	1	0.01061	PLG	0.998835	-2.3223
FOXQ1	1	-0.057305	NKX2-2	0.975814	-0.20853	RORA	1	-0.21911	POLDIP2	0.998835	-0.57048
FAM43A	0.937457	-1.2272	KCNE4	0.970683	-0.029173	P4HA1	0.81215	-0.28195	PML	0.998835	10.523
NCOA6	0.591784	0.14385	NLGN4X	0.96634	-0.067487	OCM	0.80368	0.10993	PRR9	0.998835	-2.6355
OR6K2	1	-1.065	TAS1R1	0.483699	1.1665	RABGGTA	1	-0.31835	RCAN2	0.998835	-2.3223
AGMAT	0.928774	-1.2236	SMAGP	0.84445	0.10731	UBALD2	1	-0.051293	RASSF1	0.998835	3.7135
OR7G2	0.79108	-0.61262	OLIG2	0.736526	0.34236	FLJ45513	0.771012	-0.20741	RCOR2	0.998835	-2.3223
GIF	0.411367	0.62347	SLC22A10	0.973789	-0.040477	HOGA1	1	-0.10685	RCCD1	0.998835	-1.2958
HYLS1	0.591784	0.9078	NMBR	0.853	0.01692	TYW5	0.849216	0.21504	QPCTL	0.998835	-0.88658
KRT20	0.405018	-0.53326	CCER1	0.814406	0.48434	VOPP1	0.996088	-0.23276	PSKH2	0.998835	-2.3223
HIST1H2BN	1	-1.2964	SLC44A1	0.849226	0.2523	CAPN8	0.353558	-0.19911	RANBP3L	0.998835	-2.3223
FAM86B1	1	-1.2238	TMEM182	0.975814	0.15352	ERP27	1	-0.35289	RAB13	0.998835	-1.7761
HIST1H4E	0.621911	-0.73616	SOAT2	0.814406	0.19959	PBRM1	0.771012	0.21146	DTWD2	0.998835	4.1059
KLHL15	0.79108	-1.214	ZNF506	0.617958	0.7059	SLC25A20	0.987047	-0.19231	ACP6	0.998835	7.2388
BAG6	0.591784	0.87892	LOC653602	0.471721	0.098487	DCAF4L1	1	-0.18741	MYOG	0.998835	-2.3223
HIVEP2	0.629689	-1.2211	VASN	0.684578	0.11302	KIAA2022	0.536738	-0.2518	ABCG1	0.998835	-2.4559
PDIA5	0.41816	-0.030776	RREB1	0.707911	0.4161	HTR1F	0.771012	0.36413	MYO9A	0.998835	4.8075
C17orf105	1	-1.2185	TRABD2B	0.471721	0.64024	ERVW-1	0.864783	-0.17904	ADAMTS1	0.998835	-2.3223
MCHR1	0.670563	-1.2141	HCN2	0.588277	0.60192	FDPS	1	-0.041651	EIF4E2	0.998835	-0.88658
TMX3	0.895603	0.87126	C9orf24	0.73785	0.40403	MRGPRD	0.399293	0.79078	DIAPH3	0.998835	1.813
PRPF4	1	-1.7966	OR6Y1	0.814406	0.26775	MAP3K3	0.912875	0.030108	EEF1A2	0.998835	1.0396
MRPS30	1	-0.055936	SAR1B	0.736053	0.27602	SLC22A14	0.195258	0.6229	E2F6	0.998835	-2.3223
CT45A7	0.591784	0.91397	KRT31	0.939412	-0.02289	ADGRF5	1	-0.22741	DNAJC14	0.998835	-2.3223
MUL1	0.621911	-0.69787	HCN4	0.930027	-0.06289	ZSCAN2	0.81215	0.2416	DLG5	0.998835	-2.3223
RNF220	1	0.19968	RASA4B	0.64669	0.49816	SFTPA2	1	-0.23906	EHD3	0.998835	-2.3223
INPP4B	0.629689	-1.1227	MAGT1	0.520399	0.65102	NOA1	0.912875	-0.090871	DKK1	0.998835	-2.3223
ANKRD13B	1	-0.57898	MRC2	0.755494	0.16658	DIXDC1	0.81215	0.34564	DKK2	0.998835	-2.3223
ZNF793	0.083937	1.2411	MNX1	0.835824	0.24504	EPHA10	0.353558	-0.17624	MUC7	0.998835	0.33799
EPOR	0.248441	-1.206	RPL7L1	0.915718	-0.49912	XPNPEP3	0.947831	-0.35534	MYO19	0.998835	-1.7241
LINC00452	1	-1.2228	MATR3	0.92643	0.44668	POLR2J2	0.50381	0.52049	EXO5	0.998835	-2.7176
IVD	1	-0.22805	MTFR1L	0.641119	0.41589	SVOP	0.972988	-0.27014	MUC16	0.998835	-1.2227
BRSK2	0.60436	-1.2067	PCDH9	0.949902	0.12146	ASNS	0.80368	-0.31942	ALAS2	0.998835	-3.1897
RFX6	0.853387	-0.066179	HCFC1	0.814406	-0.89377	CASP14	0.972988	0.033118	AKT3	0.998835	-2.3223
LUC7L2	1	-0.04087	PTPRH	0.698116	0.56518	MRPS11	0.868594	-0.027435	EXTL1	0.998835	-1.1457
SAC3D1	1	-0.10171	ZNF99	0.825622	0.37094	P2RX2	0.912875	0.21191	ELAVL3	0.998835	1.9293
PCDHGC4	0.248441	-0.31981	C15orf32	0.810821	-0.17205	SLC6A19	0.870878	-0.1591	MYO7A	0.998835	-1.3653
SERPINB2	1	-1.2073	MPV17L	0.915718	0.14763	OCA2	0.912875	0.086936	ADH4	0.998835	-1.6142
HCCS	1	-0.095087	EIF4E	0.33429	-0.5993	C22orf39	1	0.046619	AK2	0.998835	-2.3223
NLRP1	0.210556	1.185	ESRP2	0.997378	-0.25644	TGOLN2	0.81215	-0.20126	AKNAD1	0.998835	3.1721
NR2F6	0.851439	-1.2194	UNK	0.942147	-0.14694	PIGW	0.89121	0.20243	EML1	0.998835	-2.3223
ADGRF3	0.591784	-0.95995	LRRC24	0.820732	-0.02693	L3MBTL3	0.025184	0.1473	MYO1D	0.998835	-1.2227
OR11H6	1	-0.31277	SUCLA2	0.833994	0.33489	BACH1	0.972912	-0.25153	DNAL4	0.998835	-0.31326
TLCD2	0.248441	-1.2079	HIST1H4D	0.599122	0.35539	APOH	1	-0.21891	DNAJC5G	0.998835	-0.97823
AMOTL2	0.813496	-0.43302	GPR4	0.91444	0.20993	LSAMP	1	-0.21812	DYNC1I2	0.998835	-2.0113
HIST1H3J	0.75631	-1.2209	GJD2	0.926726	0.058745	TCEA2	1	-0.20255	CHMP6	0.998835	-2.0113
HAL	0.591784	-1.2147	NPHP1	0.824237	0.33157	ANKRD18B	0.897144	-0.073909	ZNF354A	0.998835	-2.4874
PRR25	1	-0.052694	ACTR5	0.930027	-0.049737	CFAP126	1	0.028964	GCSH	0.998835	-2.0113
WBSCR17	1	-0.71091	PRAMEF5	0.930027	0.066915	GRAMD1B	0.963018	-0.28227	GMPPB	0.998835	-2.0113
MARK2	0.742938	-0.28072	SLC22A17	0.608688	-0.22406	LYRM2	1	-0.28227	GP1BA	0.998835	-3.7407
C17orf70	1	-1.1898	POGLUT1	0.621711	0.68302	SH3BP2	1	-0.12772	MAFF	0.998835	-2.0113
CD84	0.621911	-1.1898	ARHGAP42	0.915718	0.15712	KIF18B	0.672529	0.57754	PSMB4	0.998835	-2.0113
C18orf21	1	-1.1898	CUL4A	0.970683	-0.61357	GGA3	0.841975	0.1122	RPLP1	0.998835	-2.0113
FAM21A	0.529516	0.69377	TRMT61A	0.962532	0.16172	LAMB2	0.997678	-0.35793	XRCC5	0.998835	-2.0113
LRP6	0.591784	-1.2064	GPA33	0.520399	0.92746	RFPL4B	1	-0.35793	CATSPERD	0.998835	-3.0275
KCTD8	1	-1.2095	ZNF431	0.935041	-0.37479	ENAM	1	-0.35793	ATP6V0D1	0.998835	-2.0113
NOX1	0.987508	-0.14887	MFSD10	0.641119	0.079309	LRRC10	0.79938	-0.35793	ATP6V1A	0.998835	-2.0113
ANO10	1	-0.26054	BAG1	0.963167	-0.072343	LRRTM3	0.963018	-0.21406	RPAIN	0.998835	-2.0113
SHC4	0.591784	-0.91213	MMACHC	0.835824	0.24291	PLEKHH3	0.870391	0.11899	RAD17	0.998835	-1.9218
NSUN7	1	-0.14677	EHMT2	0.736526	0.075272	FURIN	0.972988	-0.32054	ATG5	0.998835	-2.2134
BEST4	1	-1.2101	FAM47E	0.822775	-0.12652	BPTF	1	-0.077425	EIF4B	0.998835	-2.2134
CDH15	0.385499	1.3071	GTF2H3	0.80252	0.25957	BAG2	0.987047	-0.097301	ATAD5	0.998835	-2.1752
PIH1D1	0.385499	1.2985	THAP2	0.773403	0.027519	CYP11B1	0.963018	-0.23189	AMIGO1	0.998835	-3.2461
LRIT3	1	-0.96343	UQCC1	0.930027	-0.0075765	ADGRE2	0.972988	-0.19298	CHMP4B	0.998835	-1.2958
GFI1B	0.784312	-0.96343	PLD1	0.42163	0.8533	EHBP1	0.894865	-0.19298	KIF20B	0.998835	-2.939
RUVBL2	0.851364	-0.96343	KISS1R	0.820732	0.056421	NBPF7	1	-0.10579	CERS5	0.998835	-1.8263
TMX4	1	-0.975	BCKDHB	0.538233	0.60568	ERCC6L2	0.953353	-0.17029	IWS1	0.998835	-4.5504
CLDN7	0.248441	-1.2108	TEX13B	0.942303	0.044383	LOC100133267	0.972912	-0.28498	PSORS1C2	0.998835	-1.8748
PRR15L	0.843762	-1.2152	FAM124A	0.467233	0.88612	ATAD5	1	-0.39133	PSMC2	0.998835	-0.31326
C3	1	-1.1965	TRIM8	0.992354	-0.14576	SEC62	1	-0.55122	HEATR1	0.998835	-2.2134
ZMAT5	1	-1.1965	PGBD1	0.688381	0.19382	IFNA5	1	-0.55122	TAOK3	0.998835	-2.2134
CECR2	0.591784	0.42411	NLRP4	0.766637	0.55261	OR2T2	0.917374	-0.25983	CCNL1	0.998835	-0.4476
SOX1	0.621911	-1.2113	ROCK1	0.599363	-0.13859	P2RY14	0.897144	0.23794	CBLN1	0.998835	-2.1359
MAGEA2B	0.880128	-0.92767	COPG1	0.780963	-0.046632	S100PBP	1	0.18495	ZNF236	0.998835	-2.2134
N4BP1	0.451582	1.1988	CXorf56	0.872787	0.013636	DUOXA1	0.80368	0.31526	SUCLG1	0.998835	-2.2134
RRN3	1	0	CFDP1	0.530213	0.97566	HHLA2	0.846014	-0.25124	ZNF781	0.998835	-2.2134
NBPF7	1	0.38929	SLC39A10	0.792165	0.48779	SLC25A3	0.753803	-0.19583	SLCO1B7	0.998835	1.8844
ITGAE	0.621911	-1.1385	ACLY	0.918011	-0.83965	LAMP1	0.716124	-0.057283	SPDYE3	0.998835	-2.2134
C2orf57	1	-1.2015	FABP6	0.950005	0.061359	LOC388436	1	-0.24388	MAGOHB	0.998835	-2.2134
PFKFB4	1	-0.24185	C17orf112	0.930027	0.12648	CATSPER1	0.912875	-0.3607	TFDP1	0.998835	-1.9672
SSTR5	0.621911	-0.40084	NKAIN3	0.975814	-0.11867	HEPACAM2	0.998427	-0.28534	CDK17	0.998835	-1.0644
ZNF407	0.405018	0.45893	ID2	0.970683	-0.39621	IKZF2	0.795928	0.44833	TTLL6	0.998835	-2.7698
LOC100132146	1	-1.2039	TGFBR1	0.792165	-0.18085	LPIN1	1	-0.15368	RBP7	0.998835	-1.8748
PLCZ1	0.083591	0.72739	ZP3	0.471721	1.0101	GPR135	0.81215	-0.18676	C1orf185	0.998835	-3.131
NIT1	0.910444	-1.214	ZNF831	0.707911	0.55552	HNRNPR	1	-0.22384	UBAP2	0.998835	-2.2134
C1orf21	1	-1.2055	C2orf68	0.773403	0.32026	LCN15	1	-0.19769	TMX2	0.998835	-2.2134
ISG15	0.740507	0.28626	SERPINI1	0.352831	0.89489	C22orf24	0.912875	-0.21354	VDAC1	0.998835	-2.9617
GOLGA8M	1	-1.7167	ODF3B	0.707911	-0.3474	SYNM	0.81215	-0.28243	DHX16	0.998835	-1.7761
VPS45	1	-1.2103	C19orf47	0.975814	-0.020499	OXA1L	0.912875	-0.22058	UBE2K	0.998835	-2.2134
MMEL1	0.485241	-0.53915	DCAF8	0.773403	0.26499	SLA2	0.972988	-0.19018	MRPL21	0.998835	-0.68372
FZD5	0.910444	-0.04077	ELAVL3	0.814406	0.26938	CRYBB1	1	-0.28379	MRPL48	0.998835	-2.2134
ABCF1	1	-1.0744	RPS21	0.848761	0.33003	PPIP5K1	0.971265	-0.16757	IRAK4	0.998835	-1.4317
ADGRG6	0.566081	0.95697	HTR3A	0.975814	-0.085269	CCDC166	0.997678	0.037627	MRPL13	0.998835	-1.0644
PDE11A	0.293846	1.4612	NXPE4	0.863784	-0.22406	BTD	1	-0.20017	NUDT7	0.998835	-2.2134
OR56A1	0.726238	-1.2084	CCL4L2	0.90719	0.0043752	PDX1	0.672529	0.60186	PCF11	0.998835	4.3264
PCDHA13	1	-0.78796	CRCT1	0.745343	0.2636	TMTC2	0.864783	0.19117	PARK2	0.998835	-3.0488
SOX11	0.895603	-0.42332	DPP9	0.915718	-0.057197	NCKAP1L	1	-0.29892	ADAM19	0.998835	-2.2134
LDHAL6B	0.454718	-0.61042	ARHGEF28	0.837954	-0.18191	MAZ	0.912875	-0.20326	FANCM	0.998835	-1.0644
LRCOL1	0.591784	-1.2008	KRTAP2-4	0.930027	0.15244	SPANXC	1	-0.23707	FAM126A	0.998835	-2.2134
LCN1	0.591784	-0.61618	SPDYA	0.641119	0.48718	FADD	1	-0.34791	MORN5	0.998835	-1.2958
CEP19	0.621911	0.65942	FBXO15	0.997378	-0.18962	PDPN	0.912875	-0.36366	PGR	0.998835	-2.4874
PHF21A	0.989446	-1.1973	ASCL1	0.939412	-0.072027	LRRC42	0.868594	0.23122	SF3A2	0.998835	0
FAM76B	0.670563	0.32395	LOC100133267	0.971078	0.051954	CA5B	1	-0.096746	RPS27A	0.998835	0
MYDGF	0.591784	0.22492	RHD	0.773403	0.40651	CHL1	1	-0.24351	DDX47	0.998835	0
FAM129B	0.47665	1.1265	AANAT	0.825622	0.16394	MISP	1	0.137	C19orf52	0.998835	0
DOCK6	1	0.59691	PGAP2	0.289505	0.73982	FMO5	0.902316	-0.45631	VWA9	0.998835	0
FOXA3	1	-1.1897	MYO1D	0.667421	0.11981	RBP3	1	-0.18501	PRRC2A	0.998835	-0.16511
ERGIC2	0.591784	-0.47252	P2RY12	0.872787	-0.065608	OR10W1	0.972988	-0.31057	CYP11B1	0.998835	-2.8202
HNRNPM	1	-1.1406	NOD2	0.993488	-0.15767	FAM122A	0.438332	0.45027	OR4Q3	0.998835	-0.66552
OR4F4	0.386274	-1.1406	GJC2	0.970683	-0.061194	IRF4	1	-0.10656	ODF2L	0.998835	-1.5559
GIPC1	0.178248	-1.1406	OSBPL2	0.80442	-0.20904	OR5A1	1	-0.12653	PPM1F	0.998835	-4.1185
PRKAA1	1	-1.1406	ANAPC7	0.667421	0.069499	ZDHHC8	0.953353	-0.21116	PRKX	0.998835	-3.1897
MPP5	0.812216	-0.074976	C17orf77	0.467233	0.72043	IP6K3	0.501155	0.52847	SAMHD1	0.998835	-2.5781
POC1A	0.47665	-0.44164	SEMA4A	0.85408	0.16021	XPOT	1	-0.36682	SIPA1L3	0.998835	2.9035
FLRT3	0.591784	-0.2678	SOHLH2	0.825622	0.17763	SLC11A2	1	-0.25944	CXCL3	0.998835	0.55526
ANP32A	1	-0.7089	CFL2	0.996974	-0.14072	KLHL22	0.753803	-0.095497	C10orf95	0.998835	-0.16511
VWA5B2	0.385499	1.308	MYBL2	0.987524	-0.14616	SPATA31A1	0.81215	0.31702	ACACB	0.998835	-0.88658
PSME4	1	0.28582	KRTDAP	0.880128	0.10106	AP4M1	0.972988	-0.23665	LSS	0.998835	-2.7952
PEX26	0.670563	-0.62809	TUBGCP3	0.986873	-0.22286	FGFR2	1	-0.22682	ZNF791	0.998835	4.3066
TRIM52	1	-1.2052	STRADA	0.748881	0.48673	OR4N5	0.864783	-0.29947	TRIOBP	0.998835	1.7217
GPC2	0.47665	-0.98607	TOM1L2	0.520399	0.7253	SYNGR2	0.771583	0.40455	USP17L21	0.998835	-1.4317
GAA	0.293846	-0.22892	CRYZ	0.669864	-0.10074	CCDC159	0.972988	-0.13964	IRAK1	0.998835	-2.1752
DNTTIP2	0.591784	-0.016857	HAX1	0.85408	0.16028	PABPC5	0.972988	0.14431	HBE1	0.998835	-2.6071
FAM193B	0.298443	1.4541	DPP6	0.80252	0.41169	BAG3	0.672529	-0.21246	KRT78	0.998835	-3.2825
GPKOW	0.406043	1.2458	SEPW1	0.915718	-0.058703	PLAU	0.912875	-0.15141	FAM181A	0.998835	2.7403
SS18L2	1	-0.9567	GDE1	0.736526	0.36693	C7orf43	1	-0.036394	MEF2C	0.998835	-2.0955
TNP1	0.46436	-0.0043274	IL1RAP	0.471721	0.74731	CLEC4G	0.972988	-0.25231	SLC39A12	0.998835	-2.6355
SPG21	0.549922	0.94951	H2AFB2	0.835824	0.13951	BRD7	0.643943	0.62996	KRT7	0.998835	-1.2227
MYH8	0.987508	0.074909	GREB1L	0.85408	-0.075944	MAPRE2	0.868594	0.29431	NOM1	0.998835	-4.2158
PPFIBP2	1	-1.2026	CYP51A1	0.942147	0.087672	F3	0.895722	0.37634	RPLP0	0.998835	-1.9672
CHST10	1	-0.28585	PHYHIP	0.814406	0.20088	AP3M1	0.897144	0.16959	RPP30	0.998835	-1.9672
FMNL1	1	-0.89982	BARHL2	0.918925	0.13844	MTCH1	0.81215	-0.28278	SRSF3	0.998835	-1.9672
CD302	0.485834	1.085	MPPED1	0.975814	-0.17846	AP5S1	0.961956	-0.12222	NDNL2	0.998835	-1.9672
LTA4H	1	0.4657	COPZ2	0.483699	0.040599	VWA9	0.960226	0.2594	C1orf27	0.998835	-1.9672
MECOM	0.621911	-0.5155	SIGLECL1	0.608688	0.20096	TCF4	0.963018	-0.32425	GOSR2	0.998835	-1.9672
SCFD2	1	-1.2006	ADAP2	0.997378	-0.35977	CFC1B	0.849216	0.30609	KAT5	0.998835	-1.9672
PTHLH	0.517272	-1.195	ALDH2	0.814406	0.25391	RIC8B	0.963018	-0.42784	DNAJA3	0.998835	-1.9672
CFHR4	0.248441	-0.20558	APOBEC3G	0.942037	-0.17778	MYCBP2	1	-0.5251	EIF2B5	0.998835	0
AGAP6	0.293846	-1.0874	ABR	0.820732	-0.26517	TBC1D8B	0.81215	0.25095	COPS6	0.998835	0
ZNF17	0.625264	0.83838	PKP4	0.669489	0.49553	PLCB4	0.81215	0.31312	RPN2	0.998835	0
ERP44	0.591784	-1.2021	ANKRD13C	0.976871	-0.096245	ARHGEF35	1	-0.25923	DDX20	0.998835	0
CRADD	0.968312	-0.4703	DHRS1	0.84037	0.43268	TUBA3C	1	-0.25923	TRAPPC5	0.998835	0
FBXO36	1	-1.2015	PRPF40A	0.820732	0.83339	ITPKB	1	-0.25923	LRRC37A3	0.998835	0
STK36	1	-1.1897	C7orf49	0.565813	0.49592	PTCH2	0.348861	0.65205	RPL7A	0.998835	0
PLGLB2	1	-0.57881	C6orf52	0.975814	-0.07713	TAS2R5	0.972988	0.16406	NSMCE4A	0.998835	0
OBP2B	0.910444	0.12525	PDE6C	0.773403	0.38112	DDTL	1	-0.22054	SPDYE6	0.998835	0
TIMM23B	0.591784	0.56187	S100A8	0.926337	0.20934	CCDC121	0.743322	0.14129	EMC2	0.998835	0
OR2L13	0.357126	0.034512	TBCA	0.994346	-0.9977	SHPRH	0.81215	0.22483	C9orf171	0.998835	-2.8927
SLC38A4	0.546396	-0.25715	PPP1R37	0.915718	-0.031598	FDXACB1	0.393419	-0.22782	CCDC138	0.998835	-3.4359
FRMD3	1	-0.56302	SLC39A13	0.684578	0.1616	ITPR1	1	-0.009599	ATP5B	0.998835	-0.57048
RPL15	1	-1.751	FGB	0.565813	0.56416	KRT25	1	-0.10084	ATM	0.998835	-2.1752
MAP10	0.809366	-1.1311	CYP2A13	0.553832	0.57263	ALDH1A2	0.972912	-0.18092	AGAP9	0.998835	-0.4476
EGFL8	1	-0.38127	MPPED2	0.896977	0.052286	ULK4	1	-0.26976	C6orf229	0.998835	-2.1752
GPS2	0.577019	0.18	S100G	0.46694	0.57869	LHFPL1	1	-0.19571	C10orf2	0.998835	-0.16511
